Lineage;Fam;Taxogroup;Taxo1;Last;SizeMin;SizeMax;Cover;Shape;Spicule;Symmetry;Polarity;Colony;Motility;Chloroplast;Plast_Origin;Ingestion;Symbiontic;Zoosporic_Parasite;Cyst_Spore
Eukaryota|Harosa|Alveolata|Ciliophora|Intramacronucleata|Litostomatea|Haptoria|Litonotidae|Litonotus|Litonotus+paracygnus;Alveolates;Ciliophora;Haptoria;Litonotus;150;300;Naked;Elongated;0;Asymetrical;Heteropolar;None;Swimmer;0;None;Intern;No;0;0
Eukaryota|Harosa|Alveolata|Ciliophora|Intramacronucleata|Litostomatea|Haptoria|Litonotidae|Litonotus|Litonotus+pictus;Alveolates;Ciliophora;Haptoria;Litonotus;200;600;Naked;Elongated;0;Asymetrical;Heteropolar;None;Swimmer;0;None;Intern;No;0;0
Eukaryota|Harosa|Alveolata|Ciliophora|Intramacronucleata|Litostomatea|Haptoria|Litonotidae|Loxophyllum;Alveolates;Ciliophora;Haptoria;Loxophyllum;70;600;Naked;Elongated;0;Asymetrical;Heteropolar;None;Swimmer;0;None;Intern;No;0;0
Eukaryota|Harosa|Alveolata|Ciliophora|Intramacronucleata|Litostomatea|Haptoria|Litonotidae|Loxophyllum|Loxophyllum+jini;Alveolates;Ciliophora;Haptoria;Loxophyllum;300;600;Naked;Elongated;0;Asymetrical;Heteropolar;None;Swimmer;0;None;Intern;No;0;0
Eukaryota|Harosa|Alveolata|Ciliophora|Intramacronucleata|Litostomatea|Haptoria|Litonotidae|Loxophyllum|Loxophyllum+perihoplophorum;Alveolates;Ciliophora;Haptoria;Loxophyllum;400;400;Naked;Elongated;0;Asymetrical;Heteropolar;None;Swimmer;0;None;Intern;No;0;0
Eukaryota|Harosa|Alveolata|Ciliophora|Intramacronucleata|Litostomatea|Haptoria|Litonotidae|Loxophyllum|Loxophyllum+rostratum;Alveolates;Ciliophora;Haptoria;Loxophyllum;100;300;Naked;Elongated;0;Asymetrical;Heteropolar;None;Swimmer;0;None;Intern;No;0;0
Eukaryota|Harosa|Alveolata|Ciliophora|Intramacronucleata|Litostomatea|Haptoria|Spathidiidae;Alveolates;Ciliophora;Haptoria;Spathidiidae;30;200;Naked;Elongated;0;Asymetrical;Heteropolar;None;Swimmer;0;None;Intern;No;0;0
Eukaryota|Harosa|Alveolata|Ciliophora|Intramacronucleata|Litostomatea|Haptoria|Spathidiidae|Arcuospathidium|Arcuospathidium+namibiense;Alveolates;Ciliophora;Haptoria;Arcuospathidium;110;210;Naked;Elongated;0;Asymetrical;Heteropolar;None;Gliding;0;None;Intern;No;0;0
Eukaryota|Harosa|Alveolata|Ciliophora|Intramacronucleata|Litostomatea|Haptoria|Spathidiidae|Balantidion|Balantidion+pellucidum;Alveolates;Ciliophora;Haptoria;Balantidion;NA;NA;Naked;Elongated;0;Asymetrical;Heteropolar;None;Swimmer;0;None;Intern;NA;0;1
Eukaryota|Harosa|Alveolata|Ciliophora|Intramacronucleata|Litostomatea|Haptoria|Spathidiidae|Spathidium|Spathidium+foissneri;Alveolates;Ciliophora;Haptoria;Spathidium;110;200;Naked;Elongated;0;Asymetrical;Heteropolar;None;Gliding;0;None;Intern;No;0;1
Eukaryota|Harosa|Alveolata|Ciliophora|Intramacronucleata|Litostomatea|Haptoria|Spathidiidae|Spathidium|Spathidium+sp.;Alveolates;Ciliophora;Haptoria;Spathidium;80;250;Naked;Elongated;0;Asymetrical;Heteropolar;None;Swimmer;0;None;Intern;No;0;1
Eukaryota|Harosa|Alveolata|Ciliophora|Intramacronucleata|Litostomatea|Haptoria|Trachelophyllidae|Enchelyodon|Enchelyodon+sp.;Alveolates;Ciliophora;Haptoria;Enchelyodon;80;200;Naked;Elongated;0;Asymetrical;Heteropolar;None;Swimmer;0;None;Intern;No;0;0
Eukaryota|Harosa|Alveolata|Ciliophora|Intramacronucleata|Litostomatea|Litostomatea|Litostomatea_X+sp.;Alveolates;Ciliophora;Undetermined_Ciliophora;Litostomatea;NA;NA;Naked;NA;0;Asymetrical;NA;NA;NA;0;None;Intern;NA;0;NA
Eukaryota|Harosa|Alveolata|Ciliophora|Intramacronucleata|Nassophorea|Nassophorea_X|Furgasoniidae|Parafurgasonia|Parafurgasonia+sp.;Alveolates;Ciliophora;Nassophorea;Parafurgasonia;30;80;Naked;Elongated;0;Asymetrical;Heteropolar;None;Swimmer;0;None;Intern;No;0;0
Eukaryota|Harosa|Alveolata|Ciliophora|Intramacronucleata|Nassophorea|Nassophorea_X|Paranassulidae|Paranassula|Paranassula+sp.;Alveolates;Ciliophora;Nassophorea;Paranassula;65;150;Naked;Elongated;0;Asymetrical;Heteropolar;None;Swimmer;0;None;Intern;No;0;0
Eukaryota|Harosa|Alveolata|Ciliophora|Intramacronucleata|Oligohymenophorea;Alveolates;Ciliophora;Undetermined_Ciliophora;Oligohymenophorea;NA;NA;Naked;NA;0;NA;NA;NA;NA;0;None;Intern;NA;0;NA
Eukaryota|Harosa|Alveolata|Ciliophora|Intramacronucleata|Oligohymenophorea|Apostomatida|Colliniidae;Alveolates;Ciliophora;Apostomatida;Colliniidae;10;100;Naked;Elongated;0;Asymetrical;Heteropolar;None;Attached;0;None;Extern;Parasite;0;1
Eukaryota|Harosa|Alveolata|Ciliophora|Intramacronucleata|Oligohymenophorea|Apostomatida|Colliniidae|Pseudocollinia;Alveolates;Ciliophora;Apostomatida;Pseudocollinia;21;39;Naked;Elongated;0;Asymetrical;Heteropolar;None;Attached;0;None;Extern;Parasite;0;1
Eukaryota|Harosa|Alveolata|Ciliophora|Intramacronucleata|Oligohymenophorea|Apostomatida|Foettingeriidae|Gymnodinioides|Gymnodinioides+sp.;Alveolates;Ciliophora;Apostomatida;Gymnodinioides;28;60;Naked;Elongated;0;Asymetrical;Heteropolar;None;Attached;0;None;Extern;Parasite;0;1
Eukaryota|Harosa|Alveolata|Ciliophora|Intramacronucleata|Oligohymenophorea|Apostomatida|Foettingeriidae|Hyalophysa;Alveolates;Ciliophora;Apostomatida;Hyalophysa;50;200;Naked;Elongated;0;Asymetrical;Heteropolar;None;Attached;0;None;Extern;Parasite;0;1
Eukaryota|Harosa|Alveolata|Ciliophora|Intramacronucleata|Oligohymenophorea|Apostomatida|Foettingeriidae|Hyalophysa|Hyalophysa+lwoffi;Alveolates;Ciliophora;Apostomatida;Hyalophysa;50;200;Naked;Elongated;0;Asymetrical;Heteropolar;None;Attached;0;None;Extern;Parasite;0;1
Eukaryota|Harosa|Alveolata|Ciliophora|Intramacronucleata|Oligohymenophorea|Apostomatida|Foettingeriidae|Vampyrophrya|Vampyrophrya+pelagica;Alveolates;Ciliophora;Apostomatida;Vampyrophrya;12;90;Naked;Elongated;0;Asymetrical;Heteropolar;None;Attached;0;None;Extern;Parasite;0;1
Eukaryota|Harosa|Alveolata|Ciliophora|Intramacronucleata|Oligohymenophorea|Astomatia;Alveolates;Ciliophora;Astomatia;Astomatia;25;335;Naked;Elongated;0;Asymetrical;Heteropolar;None;Swimmer;0;None;Osmotrophic;Commensalist;0;0
Eukaryota|Harosa|Alveolata|Ciliophora|Intramacronucleata|Oligohymenophorea|Mobilida|Trichodinidae|Trichodina;Alveolates;Ciliophora;Mobilida;Trichodina;22;104;Naked;Round;0;Radial;Isopolar;None;Swimmer;0;None;Extern;Parasite;0;0
Eukaryota|Harosa|Alveolata|Ciliophora|Intramacronucleata|Oligohymenophorea|Peniculia|Frontoniidae|Frontonia|Frontonia+tchibisovae;Alveolates;Ciliophora;Peniculia;Frontonia;130;250;Naked;Elongated;0;Asymetrical;Heteropolar;None;Swimmer;0;None;Intern;No;0;0
Eukaryota|Harosa|Alveolata|Ciliophora|Intramacronucleata|Oligohymenophorea|Peritrichia;Alveolates;Ciliophora;Peritrichia;Peritrichia;50;50;Naked;Elongated;0;Asymetrical;Heteropolar;None;Swimmer;0;None;Intern;No;0;0
Eukaryota|Harosa|Alveolata|Ciliophora|Intramacronucleata|Oligohymenophorea|Peritrichia|Opisthonectidae|Telotrochidium|Telotrochidium+matiense;Alveolates;Ciliophora;Peritrichia;Telotrochidium;45;80;Naked;Elongated;0;Asymetrical;Heteropolar;None;Swimmer;0;None;Intern;No;0;1
Eukaryota|Harosa|Alveolata|Ciliophora|Intramacronucleata|Oligohymenophorea|Peritrichia|Vaginicolidae|Vaginicola|Vaginicola+crystallina;Alveolates;Ciliophora;Peritrichia;Vaginicola;50;160;Organic;Elongated;0;Asymetrical;Heteropolar;None;Swimmer;0;None;Intern;No;0;0
Eukaryota|Harosa|Alveolata|Ciliophora|Intramacronucleata|Oligohymenophorea|Peritrichia|Vaginicolidae|Vaginicolidae_X|Vaginicolidae_X+sp.;Alveolates;Ciliophora;Peritrichia;Vaginicolidae;50;160;Organic;Elongated;0;Asymetrical;Heteropolar;None;Swimmer;0;None;Intern;No;0;0
Eukaryota|Harosa|Alveolata|Ciliophora|Intramacronucleata|Oligohymenophorea|Peritrichia|Zoothamniidae|Zoothamniidae_X|Zoothamniidae_X+sp.;Alveolates;Ciliophora;Peritrichia;Zoothamniidae;20;150;Naked;Elongated;0;Asymetrical;Heteropolar;Ellongated;Attached;0;None;Intern;Commensalist;0;0
Eukaryota|Harosa|Alveolata|Ciliophora|Intramacronucleata|Oligohymenophorea|Peritrichia|Zoothamniidae|Zoothamnium;Alveolates;Ciliophora;Peritrichia;Zoothamnium;20;150;Naked;Elongated;0;Asymetrical;Heteropolar;Ellongated;Attached;0;None;Intern;Commensalist;0;0
Eukaryota|Harosa|Alveolata|Ciliophora|Intramacronucleata|Oligohymenophorea|Peritrichia|Zoothamniidae|Zoothamnium|Zoothamnium+alternans;Alveolates;Ciliophora;Peritrichia;Zoothamnium;55;70;Naked;Elongated;0;Asymetrical;Heteropolar;Ellongated;Attached;0;None;Intern;Commensalist;0;0
Eukaryota|Harosa|Alveolata|Ciliophora|Intramacronucleata|Oligohymenophorea|Peritrichia|Zoothamniidae|Zoothamnium|Zoothamnium+arbuscula;Alveolates;Ciliophora;Peritrichia;Zoothamnium;40;60;Naked;Elongated;0;Asymetrical;Heteropolar;Ellongated;Attached;0;None;Intern;Commensalist;0;0
Eukaryota|Harosa|Alveolata|Ciliophora|Intramacronucleata|Oligohymenophorea|Peritrichia|Zoothamniidae|Zoothamnium|Zoothamnium+duplicatum;Alveolates;Ciliophora;Peritrichia;Zoothamnium;60;86;Naked;Elongated;0;Asymetrical;Heteropolar;Ellongated;Attached;0;None;Intern;Commensalist;0;0
Eukaryota|Harosa|Alveolata|Ciliophora|Intramacronucleata|Oligohymenophorea|Peritrichia|Zoothamniidae|Zoothamnium|Zoothamnium+pararbuscula;Alveolates;Ciliophora;Peritrichia;Zoothamnium;35;100;Naked;Elongated;0;Asymetrical;Heteropolar;Ellongated;Attached;0;None;Intern;Commensalist;0;0
Eukaryota|Harosa|Alveolata|Ciliophora|Intramacronucleata|Oligohymenophorea|Peritrichia|Zoothamniidae|Zoothamnium|Zoothamnium+pelagicum;Alveolates;Ciliophora;Peritrichia;Zoothamnium;20;150;Naked;Elongated;0;Asymetrical;Heteropolar;Ellongated;Attached;0;None;Intern;No;0;0
Eukaryota|Harosa|Alveolata|Ciliophora|Intramacronucleata|Oligohymenophorea|Peritrichia|Zoothamniidae|Zoothamnium|Zoothamnium+sp.;Alveolates;Ciliophora;Peritrichia;Zoothamnium;20;150;Naked;Elongated;0;Asymetrical;Heteropolar;Ellongated;Attached;0;None;Intern;Commensalist;0;0
Eukaryota|Harosa|Alveolata|Ciliophora|Intramacronucleata|Oligohymenophorea|Peritrichia|Zoothamniidae|Zoothamnium|Zoothamnium+sp._strain2;Alveolates;Ciliophora;Peritrichia;Zoothamnium;20;150;Naked;Elongated;0;Asymetrical;Heteropolar;Ellongated;Attached;0;None;Intern;Commensalist;0;0
Eukaryota|Harosa|Alveolata|Ciliophora|Intramacronucleata|Oligohymenophorea|Peritrichia|Zoothamniidae|Zoothamnopsis|Zoothamnopsis+sinica;Alveolates;Ciliophora;Peritrichia;Zoothamnopsis;70;105;Naked;Elongated;0;Asymetrical;Heteropolar;Ellongated;Attached;0;None;Intern;Commensalist;0;0
Eukaryota|Harosa|Alveolata|Ciliophora|Intramacronucleata|Oligohymenophorea|Scuticociliatia;Alveolates;Ciliophora;Scuticociliata;Scuticociliatia;NA;NA;Naked;Elongated;0;Asymetrical;Heteropolar;None;Swimmer;0;None;Intern;NA;0;1
Eukaryota|Harosa|Alveolata|Ciliophora|Intramacronucleata|Oligohymenophorea|Scuticociliatia|Cinetochilidae|Cinetochilum|Cinetochilum+sp.;Alveolates;Ciliophora;Scuticociliata;Cinetochilum;20;30;Naked;Elongated;0;Asymetrical;Heteropolar;None;Swimmer;0;None;Intern;Parasite;0;1
Eukaryota|Harosa|Alveolata|Ciliophora|Intramacronucleata|Oligohymenophorea|Scuticociliatia|Cohnilembidae|Porpostoma|Porpostoma+notata;Alveolates;Ciliophora;Scuticociliata;Porpostoma;84;180;Naked;Elongated;0;Asymetrical;Heteropolar;None;Swimmer;0;None;Intern;Parasite;0;1
Eukaryota|Harosa|Alveolata|Ciliophora|Intramacronucleata|Oligohymenophorea|Scuticociliatia|Cyclidiidae|Cyclidiidae_X|Cyclidiidae_X+sp.;Alveolates;Ciliophora;Scuticociliata;Cyclidiidae;15;40;Naked;Elongated;0;Asymetrical;Heteropolar;None;Swimmer;0;None;Intern;Parasite;0;1
Eukaryota|Harosa|Alveolata|Ciliophora|Intramacronucleata|Oligohymenophorea|Scuticociliatia|Cyclidiidae|Cyclidium|Cyclidium+glaucoma;Alveolates;Ciliophora;Scuticociliata;Cyclidium;18;26;Naked;Elongated;0;Asymetrical;Heteropolar;None;Swimmer;0;None;Intern;Parasite;0;1
Eukaryota|Harosa|Alveolata|Ciliophora|Intramacronucleata|Oligohymenophorea|Scuticociliatia|Orchitophryidae|Mesanophrys|Mesanophrys+carcini;Alveolates;Ciliophora;Scuticociliata;Mesanophrys;42;74;Naked;Elongated;0;Asymetrical;Heteropolar;None;Swimmer;0;None;Intern;Parasite;0;1
Eukaryota|Harosa|Alveolata|Ciliophora|Intramacronucleata|Oligohymenophorea|Scuticociliatia|Orchitophryidae|Paranophrys|Paranophrys+marina;Alveolates;Ciliophora;Scuticociliata;Paranophrys;35;53;Naked;Elongated;0;Asymetrical;Heteropolar;None;Swimmer;0;None;Intern;Parasite;0;1
Eukaryota|Harosa|Alveolata|Ciliophora|Intramacronucleata|Oligohymenophorea|Scuticociliatia|Parauronematidae|Miamiensis|Miamiensis+avidus;Alveolates;Ciliophora;Scuticociliata;Miamiensis;16;40;Naked;Elongated;0;Asymetrical;Heteropolar;None;Swimmer;0;None;Intern;Parasite;0;1
Eukaryota|Harosa|Alveolata|Ciliophora|Intramacronucleata|Oligohymenophorea|Scuticociliatia|Parauronematidae|Parauronema|Parauronema+longum;Alveolates;Ciliophora;Scuticociliata;Parauronema;30;100;Naked;Elongated;0;Asymetrical;Heteropolar;None;Swimmer;0;None;Intern;Parasite;0;1
Eukaryota|Harosa|Alveolata|Ciliophora|Intramacronucleata|Oligohymenophorea|Scuticociliatia|Philasteridae|Philasterides|Philasterides+armatalis;Alveolates;Ciliophora;Scuticociliata;Philasterides;60;90;Naked;Elongated;0;Asymetrical;Heteropolar;None;Swimmer;0;None;Intern;Parasite;0;1
Eukaryota|Harosa|Alveolata|Ciliophora|Intramacronucleata|Oligohymenophorea|Scuticociliatia|Pseudocohnilembidae|Pseudocohnilembus|Pseudocohnilembus+longisetus;Alveolates;Ciliophora;Scuticociliata;Pseudocohnilembus;30;40;Naked;Elongated;0;Asymetrical;Heteropolar;None;Swimmer;0;None;Intern;Parasite;0;1
Eukaryota|Harosa|Alveolata|Ciliophora|Intramacronucleata|Oligohymenophorea|Scuticociliatia|Pseudocohnilembidae|Pseudocohnilembus|Pseudocohnilembus+persalinus;Alveolates;Ciliophora;Scuticociliata;Pseudocohnilembus;25;43;Naked;Elongated;0;Asymetrical;Heteropolar;None;Swimmer;0;None;Intern;Parasite;0;1
Eukaryota|Harosa|Alveolata|Ciliophora|Intramacronucleata|Oligohymenophorea|Scuticociliatia|Scuticociliatia_X|Scuticociliatia_X+sp.;Alveolates;Ciliophora;Scuticociliata;Scuticociliatia;NA;NA;Naked;Elongated;0;Asymetrical;Heteropolar;None;Swimmer;0;None;Intern;NA;0;1
Eukaryota|Harosa|Alveolata|Ciliophora|Intramacronucleata|Oligohymenophorea|Scuticociliatia|Scuticociliatia_X|Scuticociliatia_X+sp._strain1;Alveolates;Ciliophora;Scuticociliata;Scuticociliatia;NA;NA;Naked;Elongated;0;Asymetrical;Heteropolar;None;Swimmer;0;None;Intern;NA;0;1
Eukaryota|Harosa|Alveolata|Ciliophora|Intramacronucleata|Oligohymenophorea|Scuticociliatia|Scuticociliatia-1|Scuticociliatia-1_X|Scuticociliatia-1_X+sp.;Alveolates;Ciliophora;Scuticociliata;Scuticociliatia;NA;NA;Naked;Elongated;0;Asymetrical;Heteropolar;None;Swimmer;0;None;Intern;NA;0;1
Eukaryota|Harosa|Alveolata|Ciliophora|Intramacronucleata|Oligohymenophorea|Scuticociliatia|Uronematidae|Uronema;Alveolates;Ciliophora;Scuticociliata;Uronema;23;50;Naked;Elongated;0;Asymetrical;Heteropolar;None;Swimmer;0;None;Intern;Parasite;0;1
Eukaryota|Harosa|Alveolata|Ciliophora|Intramacronucleata|Oligohymenophorea|Sessilida|Vorticellidae;Alveolates;Ciliophora;Sessilida;Vorticellidae;NA;NA;Naked;Elongated;0;Asymetrical;Heteropolar;None;Attached;0;None;Intern;NA;0;NA
Eukaryota|Harosa|Alveolata|Ciliophora|Intramacronucleata|Oligohymenophorea|Sessilida|Vorticellidae|Pseudovorticella|Pseudovorticella+paracratera;Alveolates;Ciliophora;Sessilida;Pseudovorticella;64;144;Naked;Elongated;0;Asymetrical;Heteropolar;Ellongated;Attached;0;None;Intern;No;0;0
Eukaryota|Harosa|Alveolata|Ciliophora|Intramacronucleata|Oligohymenophorea|Sessilida|Vorticellidae|Pseudovorticella|Pseudovorticella+punctata;Alveolates;Ciliophora;Sessilida;Pseudovorticella;45;65;Naked;Elongated;0;Asymetrical;Heteropolar;None;Attached;0;None;Intern;No;0;0
Eukaryota|Harosa|Alveolata|Ciliophora|Intramacronucleata|Oligohymenophorea|Sessilida|Vorticellidae|Vorticella;Alveolates;Ciliophora;Sessilida;Vorticella;23;157;Naked;Elongated;0;Asymetrical;Heteropolar;None;Attached;0;None;Intern;No;0;1
Eukaryota|Harosa|Alveolata|Ciliophora|Intramacronucleata|Oligohymenophorea|Sessilida|Vorticellidae|Vorticella|Vorticella+microstoma;Alveolates;Ciliophora;Sessilida;Vorticella;35;83;Naked;Elongated;0;Asymetrical;Heteropolar;None;Attached;0;None;Intern;No;0;1
Eukaryota|Harosa|Alveolata|Ciliophora|Intramacronucleata|Oligohymenophorea|Sessilida|Vorticellidae|Vorticella|Vorticella+sp.;Alveolates;Ciliophora;Sessilida;Vorticella;23;157;Naked;Elongated;0;Asymetrical;Heteropolar;None;Attached;0;None;Intern;No;0;1
Eukaryota|Harosa|Alveolata|Ciliophora|Intramacronucleata|Oligohymenophorea|Sessilida|Vorticellidae|Vorticellidae_X|Vorticellidae_X+sp.;Alveolates;Ciliophora;Sessilida;Vorticellidae;NA;NA;Naked;Elongated;0;Asymetrical;Heteropolar;None;Attached;0;None;Intern;NA;0;NA
Eukaryota|Harosa|Alveolata|Ciliophora|Intramacronucleata|Oligohymenophorea|Sessilida|Vorticellidae|Vorticellidae_X|Vorticellidae_X+sp._strain1;Alveolates;Ciliophora;Sessilida;Vorticellidae;NA;NA;Naked;Elongated;0;Asymetrical;Heteropolar;None;Attached;0;None;Intern;NA;0;NA
Eukaryota|Harosa|Alveolata|Ciliophora|Intramacronucleata|Oligohymenophorea|Sessilida|Vorticellidae|Vorticellidae_X|Vorticellidae_X+sp._strain4;Alveolates;Ciliophora;Sessilida;Vorticellidae;NA;NA;Naked;Elongated;0;Asymetrical;Heteropolar;None;Attached;0;None;Intern;NA;0;NA
Eukaryota|Harosa|Alveolata|Ciliophora|Intramacronucleata|Phyllopharyngea;Alveolates;Ciliophora;Undetermined_Ciliophora;Phyllopharyngea;NA;NA;Naked;NA;0;Asymetrical;NA;NA;NA;0;None;Intern;NA;0;NA
Eukaryota|Harosa|Alveolata|Ciliophora|Intramacronucleata|Phyllopharyngea|Cyrtophoria;Alveolates;Ciliophora;Undetermined_Ciliophora;Cyrtophoria;NA;NA;Naked;Elongated;0;Asymetrical;Heteropolar;None;Swimmer;0;None;Intern;NA;0;NA
Eukaryota|Harosa|Alveolata|Ciliophora|Intramacronucleata|Phyllopharyngea|Cyrtophoria|Chilodonellidae;Alveolates;Ciliophora;Chilodonellidae;Chilodonellidae;30;150;Naked;Elongated;0;Asymetrical;Heteropolar;None;Swimmer;0;None;Intern;No;0;0
Eukaryota|Harosa|Alveolata|Ciliophora|Intramacronucleata|Phyllopharyngea|Cyrtophoria|Chilodonellidae|Chilodonella|Chilodonella+uncinata;Alveolates;Ciliophora;Chilodonellidae;Chilodonella;30;50;Naked;Elongated;0;Asymetrical;Heteropolar;None;Swimmer;0;None;Intern;Parasite;0;0
Eukaryota|Harosa|Alveolata|Ciliophora|Intramacronucleata|Phyllopharyngea|Cyrtophoria|Chilodonellidae|Pseudochilodonopsis|Pseudochilodonopsis+fluviatilis;Alveolates;Ciliophora;Chilodonellidae;Pseudochilodonopsis;35;60;Naked;Elongated;0;Asymetrical;Heteropolar;None;Swimmer;0;None;Intern;No;0;0
Eukaryota|Harosa|Alveolata|Ciliophora|Intramacronucleata|Phyllopharyngea|Cyrtophoria|Chlamydodontidae;Alveolates;Ciliophora;Chlamydodontidae;Chlamydodontidae;30;230;Naked;Elongated;0;Asymetrical;Heteropolar;None;Swimmer;0;None;Intern;No;0;0
Eukaryota|Harosa|Alveolata|Ciliophora|Intramacronucleata|Phyllopharyngea|Cyrtophoria|Chlamydodontidae|Chlamydodon;Alveolates;Ciliophora;Chlamydodontidae;Chlamydodon;30;230;Naked;Elongated;0;Asymetrical;Heteropolar;None;Swimmer;0;None;Intern;No;0;0
Eukaryota|Harosa|Alveolata|Ciliophora|Intramacronucleata|Phyllopharyngea|Cyrtophoria|Chlamydodontidae|Chlamydodon|Chlamydodon+mnemosyne;Alveolates;Ciliophora;Chlamydodontidae;Chlamydodon;40;100;Naked;Elongated;0;Asymetrical;Heteropolar;None;Swimmer;0;None;Intern;No;0;0
Eukaryota|Harosa|Alveolata|Ciliophora|Intramacronucleata|Phyllopharyngea|Cyrtophoria|Chlamydodontidae|Chlamydodon|Chlamydodon+obliquus;Alveolates;Ciliophora;Chlamydodontidae;Chlamydodon;120;180;Naked;Elongated;0;Asymetrical;Heteropolar;None;Swimmer;0;None;Intern;No;0;0
Eukaryota|Harosa|Alveolata|Ciliophora|Intramacronucleata|Phyllopharyngea|Cyrtophoria|Chlamydodontidae|Chlamydodon|Chlamydodon+salinus;Alveolates;Ciliophora;Chlamydodontidae;Chlamydodon;56;95;Naked;Elongated;0;Asymetrical;Heteropolar;None;Swimmer;0;None;Intern;No;0;0
Eukaryota|Harosa|Alveolata|Ciliophora|Intramacronucleata|Phyllopharyngea|Cyrtophoria|Chlamydodontidae|Chlamydodon|Chlamydodon+sp.;Alveolates;Ciliophora;Chlamydodontidae;Chlamydodon;30;230;Naked;Elongated;0;Asymetrical;Heteropolar;None;Swimmer;0;None;Intern;No;0;0
Eukaryota|Harosa|Alveolata|Ciliophora|Intramacronucleata|Phyllopharyngea|Cyrtophoria|Chlamydodontidae|Chlamydodon|Chlamydodon+sp._strain2;Alveolates;Ciliophora;Chlamydodontidae;Chlamydodon;30;230;Naked;Elongated;0;Asymetrical;Heteropolar;None;Swimmer;0;None;Intern;No;0;0
Eukaryota|Harosa|Alveolata|Ciliophora|Intramacronucleata|Phyllopharyngea|Cyrtophoria|Chlamydodontidae|Chlamydodontidae_X|Chlamydodontidae_X+sp.;Alveolates;Ciliophora;Chlamydodontidae;Chlamydodontidae;30;230;Naked;Elongated;0;Asymetrical;Heteropolar;None;Swimmer;0;None;Intern;No;0;0
Eukaryota|Harosa|Alveolata|Ciliophora|Intramacronucleata|Phyllopharyngea|Cyrtophoria|Cyrtophoria_X|Microxysma|Microxysma+acutum;Alveolates;Ciliophora;Microxysma;Microxysma;NA;NA;Naked;Elongated;0;Asymetrical;Heteropolar;None;Swimmer;0;None;Intern;NA;0;NA
Eukaryota|Harosa|Alveolata|Ciliophora|Intramacronucleata|Phyllopharyngea|Cyrtophoria|Dysteriidae|Dysteria;Alveolates;Ciliophora;Dysteriidae;Dysteria;40;100;Naked;Elongated;1;Asymetrical;Heteropolar;None;Swimmer;0;None;Intern;No;0;0
Eukaryota|Harosa|Alveolata|Ciliophora|Intramacronucleata|Phyllopharyngea|Cyrtophoria|Dysteriidae|Dysteria|Dysteria+crassipes;Alveolates;Ciliophora;Dysteriidae;Dysteria;50;80;Naked;Elongated;1;Asymetrical;Heteropolar;None;Swimmer;0;None;Intern;No;0;0
Eukaryota|Harosa|Alveolata|Ciliophora|Intramacronucleata|Phyllopharyngea|Cyrtophoria|Dysteriidae|Dysteria|Dysteria+derouxi;Alveolates;Ciliophora;Dysteriidae;Dysteria;72;108;Naked;Elongated;1;Asymetrical;Heteropolar;None;Swimmer;0;None;Intern;No;0;0
Eukaryota|Harosa|Alveolata|Ciliophora|Intramacronucleata|Phyllopharyngea|Cyrtophoria|Dysteriidae|Dysteriidae_X|Dysteriidae_X+sp.;Alveolates;Ciliophora;Dysteriidae;Dysteriidae;23;150;Naked;Elongated;1;Asymetrical;Heteropolar;None;Swimmer;0;None;Intern;No;0;0
Eukaryota|Harosa|Alveolata|Ciliophora|Intramacronucleata|Phyllopharyngea|Cyrtophoria|Dysteriidae|Microdysteria|Microdysteria+decora;Alveolates;Ciliophora;Dysteriidae;Microdysteria;30;30;Naked;Elongated;1;Asymetrical;Heteropolar;None;Swimmer;0;None;Intern;No;0;0
Eukaryota|Harosa|Alveolata|Ciliophora|Intramacronucleata|Phyllopharyngea|Cyrtophoria|Dysteriidae|Trochilia|Trochilia+petrani;Alveolates;Ciliophora;Dysteriidae;Trochilia;40;60;Naked;Elongated;0;Asymetrical;Heteropolar;None;Swimmer;0;None;Intern;No;0;0
Eukaryota|Harosa|Alveolata|Ciliophora|Intramacronucleata|Phyllopharyngea|Cyrtophoria|Hartmannulidae|Aegyriana|Aegyriana+oliva;Alveolates;Ciliophora;Hartamannulidae;Aegyriana;80;140;Naked;Elongated;0;Asymetrical;Heteropolar;None;Gliding;0;None;Intern;No;0;0
Eukaryota|Harosa|Alveolata|Ciliophora|Intramacronucleata|Phyllopharyngea|Cyrtophoria|Hartmannulidae|Hartmannula|Hartmannula+derouxi;Alveolates;Ciliophora;Hartamannulidae;Hartmannula;60;120;Naked;Elongated;0;Asymetrical;Heteropolar;None;Gliding;0;None;Intern;No;0;0
Eukaryota|Harosa|Alveolata|Ciliophora|Intramacronucleata|Phyllopharyngea|Cyrtophoria|Hartmannulidae|Hartmannula|Hartmannula+sinica;Alveolates;Ciliophora;Hartamannulidae;Hartmannula;76;148;Naked;Elongated;0;Asymetrical;Heteropolar;None;Gliding;0;None;Intern;No;0;0
Eukaryota|Harosa|Alveolata|Ciliophora|Intramacronucleata|Phyllopharyngea|Cyrtophoria|Hartmannulidae|Hartmannulidae_X|Hartmannulidae_X+sp.;Alveolates;Ciliophora;Hartamannulidae;Hartmannulidae;50;180;Naked;Elongated;0;Asymetrical;Heteropolar;None;Gliding;0;None;Intern;No;0;0
